GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
SPPS_conventional_hydroelectric_1,1944,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1946,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1950,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1952,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1953,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1959,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1961,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1962,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1963,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1964,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1965,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1966,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1968,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1970,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1971,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1972,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1973,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1974,0.0,47048.0,.,.
SPPS_conventional_hydroelectric_1,1992,0.0,47048.0,.,.
SPPS_conventional_steam_coal_1,1963,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,1971,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,1972,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,1973,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,1975,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,1979,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,1980,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,1984,0.0,57919.182,.,.
SPPS_conventional_steam_coal_1,2012,0.0,57919.182,.,.
SPPS_conventional_steam_coal_2,1978,0.0,75020.394,.,.
SPPS_conventional_steam_coal_2,1979,0.0,75020.394,.,.
SPPS_conventional_steam_coal_2,1981,0.0,75020.394,.,.
SPPS_conventional_steam_coal_2,1982,0.0,75020.394,.,.
SPPS_conventional_steam_coal_2,1985,0.0,75020.394,.,.
SPPS_conventional_steam_coal_2,1990,0.0,75020.394,.,.
SPPS_hydroelectric_pumped_storage_1,1968,0.0,47048.0,0.0,0.0
SPPS_hydroelectric_pumped_storage_1,1971,0.0,47048.0,0.0,0.0
SPPS_hydroelectric_pumped_storage_1,1972,0.0,47048.0,0.0,0.0
SPPS_hydroelectric_pumped_storage_1,1979,0.0,47048.0,0.0,0.0
SPPS_hydroelectric_pumped_storage_1,1981,0.0,47048.0,0.0,0.0
SPPS_hydroelectric_pumped_storage_1,1982,0.0,47048.0,0.0,0.0
SPPS_onshore_wind_turbine_1,2001,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2003,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2004,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2005,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2006,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2007,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2008,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2009,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2010,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2011,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2012,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2014,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2015,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2016,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2017,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2018,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2019,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2020,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2021,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2022,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2023,0.0,30300.0,.,.
SPPS_onshore_wind_turbine_1,2024,0.0,30300.0,.,.
SPPS_petroleum_liquids_1,1936,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1939,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1946,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1949,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1952,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1954,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1956,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1957,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1958,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1960,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1962,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1963,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1964,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1965,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1966,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1967,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1969,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1970,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1971,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1972,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1973,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1975,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1976,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1980,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1982,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1983,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1988,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1991,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,1996,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,2001,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,2002,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,2006,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,2010,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,2012,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,2019,0.0,24000.0,.,.
SPPS_petroleum_liquids_1,2023,0.0,24000.0,.,.
SPPS_small_hydroelectric_1,1950,0.0,47048.0,.,.
SPPS_small_hydroelectric_1,1969,0.0,47048.0,.,.
SPPS_small_hydroelectric_1,1988,0.0,47048.0,.,.
SPPS_small_hydroelectric_1,1989,0.0,47048.0,.,.
SPPS_small_hydroelectric_1,2006,0.0,47048.0,.,.
SPPS_small_hydroelectric_1,2007,0.0,47048.0,.,.
SPPS_solar_photovoltaic_1,2011,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2013,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2015,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2016,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2017,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2018,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2019,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2020,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2021,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2022,0.0,22528.0,.,.
SPPS_solar_photovoltaic_1,2023,0.0,22528.0,.,.
SRCA_batteries_1,2017,0.0,7476.0,0.0,0.0
SRCA_batteries_1,2018,0.0,7476.0,0.0,0.0
SRCA_batteries_1,2019,0.0,7476.0,0.0,0.0
SRCA_batteries_1,2020,0.0,7476.0,0.0,0.0
SRCA_batteries_1,2021,0.0,7476.0,0.0,0.0
SRCA_batteries_1,2022,0.0,7476.0,0.0,0.0
SRCA_batteries_1,2023,0.0,7476.0,0.0,0.0
SRCA_biomass_1,1987,0.0,157220.0,.,.
SRCA_biomass_1,1995,0.0,157220.0,.,.
SRCA_biomass_1,1996,0.0,157220.0,.,.
SRCA_biomass_1,1999,0.0,157220.0,.,.
SRCA_biomass_1,2001,0.0,157220.0,.,.
SRCA_biomass_1,2002,0.0,157220.0,.,.
SRCA_biomass_1,2007,0.0,157220.0,.,.
SRCA_biomass_1,2012,0.0,157220.0,.,.
SRCA_biomass_1,2013,0.0,157220.0,.,.
SRCA_biomass_2,1947,0.0,157220.0,.,.
SRCA_biomass_2,1957,0.0,157220.0,.,.
SRCA_biomass_2,1963,0.0,157220.0,.,.
SRCA_biomass_2,1966,0.0,157220.0,.,.
SRCA_biomass_2,1974,0.0,157220.0,.,.
SRCA_biomass_2,1976,0.0,157220.0,.,.
SRCA_biomass_2,1984,0.0,157220.0,.,.
SRCA_biomass_2,1985,0.0,157220.0,.,.
SRCA_biomass_2,1989,0.0,157220.0,.,.
SRCA_biomass_2,1990,0.0,157220.0,.,.
SRCA_biomass_2,1991,0.0,157220.0,.,.
SRCA_biomass_2,1992,0.0,157220.0,.,.
SRCA_biomass_2,1993,0.0,157220.0,.,.
SRCA_biomass_2,1996,0.0,157220.0,.,.
SRCA_biomass_2,1997,0.0,157220.0,.,.
SRCA_biomass_2,1998,0.0,157220.0,.,.
SRCA_biomass_2,1999,0.0,157220.0,.,.
SRCA_biomass_2,2000,0.0,157220.0,.,.
SRCA_biomass_2,2001,0.0,157220.0,.,.
SRCA_biomass_2,2002,0.0,157220.0,.,.
SRCA_biomass_2,2003,0.0,157220.0,.,.
SRCA_biomass_2,2004,0.0,157220.0,.,.
SRCA_biomass_2,2005,0.0,157220.0,.,.
SRCA_biomass_2,2009,0.0,157220.0,.,.
SRCA_biomass_2,2010,0.0,157220.0,.,.
SRCA_biomass_2,2013,0.0,157220.0,.,.
SRCA_biomass_2,2014,0.0,157220.0,.,.
SRCA_biomass_2,2016,0.0,157220.0,.,.
SRCA_biomass_2,2019,0.0,157220.0,.,.
SRCA_conventional_hydroelectric_1,1916,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1917,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1919,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1922,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1923,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1924,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1925,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1926,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1927,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1928,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1929,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1930,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1942,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1949,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1953,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1954,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1960,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1962,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1963,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1967,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1971,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,1985,0.0,47048.0,.,.
SRCA_conventional_hydroelectric_1,2011,0.0,47048.0,.,.
SRCA_conventional_steam_coal_1,1963,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1966,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1968,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1969,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1970,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1971,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1972,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1973,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1974,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1975,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1980,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1983,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1984,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,1995,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,2007,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,2008,0.0,63372.579,.,.
SRCA_conventional_steam_coal_1,2012,0.0,63372.579,.,.
SRCA_conventional_steam_coal_2,1959,0.0,70292.181,.,.
SRCA_conventional_steam_coal_2,1973,0.0,70292.181,.,.
SRCA_hydroelectric_pumped_storage_1,1973,0.0,47048.0,0.0,0.0
SRCA_hydroelectric_pumped_storage_1,1975,0.0,47048.0,0.0,0.0
SRCA_hydroelectric_pumped_storage_1,1978,0.0,47048.0,0.0,0.0
SRCA_hydroelectric_pumped_storage_1,1991,0.0,47048.0,0.0,0.0
SRCA_nuclear_1,1971,0.0,216694.031,.,.
SRCA_nuclear_1,1973,0.0,216694.031,.,.
SRCA_nuclear_1,1974,0.0,216694.031,.,.
SRCA_nuclear_1,1975,0.0,216694.031,.,.
SRCA_nuclear_1,1977,0.0,216694.031,.,.
SRCA_nuclear_1,1981,0.0,216694.031,.,.
SRCA_nuclear_1,1984,0.0,216694.031,.,.
SRCA_nuclear_1,1985,0.0,216694.031,.,.
SRCA_nuclear_1,1986,0.0,216694.031,.,.
SRCA_nuclear_1,1987,0.0,216694.031,.,.
SRCA_petroleum_liquids_1,1962,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1967,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1970,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1971,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1972,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1973,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1974,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1975,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1976,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1978,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1979,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1987,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1988,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1991,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1993,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1994,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1995,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1998,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,1999,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2002,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2003,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2004,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2005,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2006,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2007,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2008,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2009,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2011,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2012,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2013,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2015,0.0,24000.0,.,.
SRCA_petroleum_liquids_1,2019,0.0,24000.0,.,.
SRCA_small_hydroelectric_1,1905,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1907,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1908,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1910,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1912,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1914,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1915,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1920,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1921,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1924,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1925,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1926,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1927,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1934,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1939,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1941,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1943,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1949,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1950,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1952,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1954,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1955,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1981,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1982,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1985,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1986,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1987,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1988,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1989,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1996,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,1997,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,2000,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,2012,0.0,47048.0,.,.
SRCA_small_hydroelectric_1,2013,0.0,47048.0,.,.
SRCA_solar_photovoltaic_1,2008,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2010,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2011,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2012,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2013,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2014,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2015,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2016,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2017,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2018,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2019,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2020,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2021,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2022,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2023,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2024,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2025,0.0,22528.0,.,.
SRCA_solar_photovoltaic_1,2026,0.0,22528.0,.,.
SRCE_batteries_1,2017,0.0,7476.0,0.0,0.0
SRCE_batteries_1,2023,0.0,7476.0,0.0,0.0
SRCE_biomass_1,1954,0.0,157220.0,.,.
SRCE_biomass_1,1957,0.0,157220.0,.,.
SRCE_biomass_1,1982,0.0,157220.0,.,.
SRCE_biomass_1,1985,0.0,157220.0,.,.
SRCE_biomass_1,1987,0.0,157220.0,.,.
SRCE_biomass_1,2000,0.0,157220.0,.,.
SRCE_biomass_1,2001,0.0,157220.0,.,.
SRCE_biomass_1,2002,0.0,157220.0,.,.
SRCE_biomass_1,2003,0.0,157220.0,.,.
SRCE_biomass_1,2005,0.0,157220.0,.,.
SRCE_biomass_1,2006,0.0,157220.0,.,.
SRCE_biomass_1,2009,0.0,157220.0,.,.
SRCE_biomass_1,2010,0.0,157220.0,.,.
SRCE_biomass_2,1990,0.0,157220.0,.,.
SRCE_biomass_2,1995,0.0,157220.0,.,.
SRCE_biomass_2,2002,0.0,157220.0,.,.
SRCE_conventional_hydroelectric_1,1916,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1924,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1925,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1928,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1930,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1936,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1937,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1938,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1939,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1940,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1941,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1942,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1943,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1944,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1945,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1948,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1949,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1950,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1951,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1952,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1953,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1954,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1957,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1958,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1961,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1962,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1963,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1964,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1966,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1968,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1972,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1973,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1974,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1977,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,1987,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,2012,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,2013,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,2016,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,2024,0.0,47048.0,.,.
SRCE_conventional_hydroelectric_1,2026,0.0,47048.0,.,.
SRCE_conventional_steam_coal_1,1953,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1958,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1961,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1962,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1963,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1966,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1968,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1971,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1972,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1974,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1977,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1978,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1981,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1982,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1984,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,1990,0.0,62311.052,.,.
SRCE_conventional_steam_coal_1,2011,0.0,62311.052,.,.
SRCE_conventional_steam_coal_2,1936,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1939,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1941,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1946,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1949,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1953,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1960,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1962,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1963,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1966,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1972,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1982,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,1994,0.0,71730.559,.,.
SRCE_conventional_steam_coal_2,2001,0.0,71730.559,.,.
SRCE_hydroelectric_pumped_storage_1,1956,0.0,47048.0,0.0,0.0
SRCE_hydroelectric_pumped_storage_1,1978,0.0,47048.0,0.0,0.0
SRCE_hydroelectric_pumped_storage_1,1979,0.0,47048.0,0.0,0.0
SRCE_nuclear_1,1974,0.0,193275.0,.,.
SRCE_nuclear_1,1975,0.0,193275.0,.,.
SRCE_nuclear_1,1977,0.0,193275.0,.,.
SRCE_nuclear_1,1981,0.0,193275.0,.,.
SRCE_nuclear_1,1982,0.0,193275.0,.,.
SRCE_nuclear_1,1996,0.0,193275.0,.,.
SRCE_nuclear_1,2016,0.0,193275.0,.,.
SRCE_onshore_wind_turbine_1,2000,0.0,30300.0,.,.
SRCE_onshore_wind_turbine_1,2004,0.0,30300.0,.,.
SRCE_petroleum_liquids_1,1934,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,1947,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,1949,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,1952,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,1954,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,1974,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,1998,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,2000,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,2001,0.0,24000.0,.,.
SRCE_petroleum_liquids_1,2002,0.0,24000.0,.,.
SRCE_small_hydroelectric_1,1912,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1913,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1914,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1926,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1931,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1943,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1950,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1954,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1956,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1970,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1993,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,1994,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,2007,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,2008,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,2021,0.0,47048.0,.,.
SRCE_small_hydroelectric_1,2022,0.0,47048.0,.,.
SRCE_solar_photovoltaic_1,2011,0.0,22528.0,.,.
SRCE_solar_photovoltaic_1,2012,0.0,22528.0,.,.
SRCE_solar_photovoltaic_1,2013,0.0,22528.0,.,.
SRCE_solar_photovoltaic_1,2014,0.0,22528.0,.,.
SRCE_solar_photovoltaic_1,2016,0.0,22528.0,.,.
